"time","temp_BZ","delta_BZ","roll_mean_BZ","roll_std_BZ","window_trigger_BZ","window_state_BZ","temp_EZ","delta_EZ","roll_mean_EZ","roll_std_EZ","window_trigger_EZ","window_state_EZ","temp_SZ","delta_SZ","roll_mean_SZ","roll_std_SZ","window_trigger_SZ","window_state_SZ","temp_WZ","delta_WZ","roll_mean_WZ","roll_std_WZ","window_trigger_WZ","window_state_WZ","fusion_mean_temp","fusion_temp_spread","fusion_any_window_state"
"2026-05-03 11:10:00","21.6","0.0","21.6","0.0","0","0","22.8","0.0","22.8","0.0","0","0","23.4","0.0","23.4","0.0","0","0","23.6","0.0","23.6","0.0","0","0","22.85","2.0","0"
"2026-05-03 11:15:00","21.6","0.0","21.6","0.0","0","0","22.8","0.0","22.8","0.0","0","0","23.4","0.0","23.4","0.0","0","0","23.6","0.0","23.6","0.0","0","0","22.85","2.0","0"
"2026-05-03 11:20:00","21.593","-0.007","21.598","0.003","0","0","22.8","0.0","22.8","0.0","0","0","23.4","0.0","23.4","0.0","0","0","23.6","0.0","23.6","0.0","0","0","22.848","2.007","0"
"2026-05-03 11:25:00","21.56","-0.033","21.588","0.017","0","0","22.8","0.0","22.8","0.0","0","0","23.4","0.0","23.4","0.0","0","0","23.6","0.0","23.6","0.0","0","0","22.84","2.04","0"
"2026-05-03 11:30:00","21.527","-0.033","21.576","0.029","0","0","22.8","0.0","22.8","0.0","0","0","23.4","0.0","23.4","0.0","0","0","23.594","-0.006","23.599","0.003","0","0","22.83","2.067","0"
"2026-05-03 11:35:00","21.507","-0.02","21.564","0.037","0","0","22.8","0.0","22.8","0.0","0","0","23.4","0.0","23.4","0.0","0","0","23.562","-0.031","23.593","0.014","0","0","22.817","2.055","0"
"2026-05-03 11:40:00","21.54","0.033","21.554","0.034","0","0","22.827","0.027","22.804","0.01","0","0","23.4","0.0","23.4","0.0","0","0","23.531","-0.031","23.581","0.026","0","0","22.825","1.991","0"
"2026-05-03 11:45:00","21.573","0.033","21.55","0.029","0","0","22.893","0.067","22.82","0.034","0","0","23.4","0.0","23.4","0.0","0","0","23.5","-0.031","23.565","0.038","0","0","22.841","1.927","0"
"2026-05-03 11:50:00","21.607","0.033","21.552","0.033","0","0","22.96","0.067","22.847","0.06","0","0","23.4","0.0","23.4","0.0","0","0","23.533","0.033","23.553","0.036","0","0","22.875","1.926","0"
"2026-05-03 11:55:00","21.64","0.033","21.566","0.046","0","0","23.107","0.147","22.898","0.109","0","0","23.4","0.0","23.4","0.0","0","0","23.567","0.033","23.548","0.03","0","0","22.928","1.927","0"
"2026-05-03 12:00:00","21.673","0.033","21.59","0.057","0","0","23.14","0.033","22.954","0.13","0","0","23.4","0.0","23.4","0.0","0","0","23.6","0.033","23.549","0.032","0","0","22.953","1.927","0"
"2026-05-03 12:05:00","21.722","0.049","21.626","0.061","0","0","23.173","0.033","23.017","0.131","0","0","23.4","0.0","23.4","0.0","0","0","23.633","0.033","23.561","0.045","0","0","22.982","1.911","0"
"2026-05-03 12:10:00","21.833","0.111","21.675","0.085","0","0","23.2","0.027","23.079","0.113","0","0","23.4","0.0","23.4","0.0","0","0","23.667","0.033","23.583","0.057","0","0","23.025","1.834","0"
"2026-05-03 12:15:00","21.913","0.08","21.731","0.109","0","0","23.2","0.0","23.13","0.083","0","0","23.473","0.073","23.412","0.027","0","0","23.7","0.033","23.617","0.057","0","0","23.072","1.787","0"
"2026-05-03 12:20:00","21.947","0.033","21.788","0.117","0","0","23.2","0.0","23.17","0.036","0","0","23.564","0.091","23.439","0.062","0","0","23.733","0.033","23.65","0.057","0","0","23.111","1.786","0"
"2026-05-03 12:25:00","21.98","0.033","21.845","0.114","0","0","23.2","0.0","23.186","0.023","0","0","23.6","0.036","23.473","0.082","0","0","23.767","0.033","23.683","0.057","0","0","23.137","1.787","0"
"2026-05-03 12:30:00","22.0","0.02","21.899","0.096","0","0","23.2","0.0","23.196","0.01","0","0","23.6","0.0","23.506","0.086","0","0","23.8","0.033","23.717","0.057","0","0","23.15","1.8","0"
"2026-05-03 12:35:00","22.0","0.0","21.946","0.059","0","0","23.2","0.0","23.2","0.0","0","0","23.6","0.0","23.539","0.077","0","0","23.838","0.038","23.751","0.058","0","0","23.16","1.838","0"
"2026-05-03 12:40:00","22.0","0.0","21.973","0.033","0","0","23.2","0.0","23.2","0.0","0","0","23.62","0.02","23.576","0.049","0","0","23.877","0.038","23.786","0.06","0","0","23.174","1.877","0"
"2026-05-03 12:45:00","22.0","0.0","21.988","0.02","0","0","23.2","0.0","23.2","0.0","0","0","23.653","0.033","23.606","0.027","0","0","23.9","0.023","23.819","0.059","0","0","23.188","1.9","0"
"2026-05-03 12:50:00","22.0","0.0","21.997","0.007","0","0","23.2","0.0","23.2","0.0","0","0","23.687","0.033","23.627","0.033","0","0","23.9","0.0","23.847","0.05","0","0","23.197","1.9","0"
"2026-05-03 12:55:00","22.0","0.0","22.0","0.0","0","0","23.2","0.0","23.2","0.0","0","0","23.681","-0.005","23.64","0.036","0","0","23.9","0.0","23.869","0.038","0","0","23.195","1.9","0"
"2026-05-03 13:00:00","22.009","0.009","22.002","0.003","0","0","23.2","0.0","23.2","0.0","0","0","23.65","-0.031","23.649","0.031","0","0","23.9","0.0","23.886","0.023","0","0","23.19","1.891","0"
"2026-05-03 13:05:00","22.055","0.045","22.011","0.02","0","0","23.2","0.0","23.2","0.0","0","0","23.619","-0.031","23.652","0.026","0","0","23.9","0.0","23.896","0.009","0","0","23.194","1.845","0"
"2026-05-03 13:10:00","22.1","0.045","22.027","0.038","0","0","23.2","0.0","23.2","0.0","0","0","23.613","-0.005","23.651","0.028","0","0","23.9","0.0","23.9","0.0","0","0","23.203","1.8","0"
"2026-05-03 13:15:00","22.067","-0.033","22.038","0.038","0","0","23.2","0.0","23.2","0.0","0","0","23.647","0.033","23.649","0.028","0","0","23.887","-0.013","23.898","0.005","0","0","23.2","1.82","0"
"2026-05-03 13:20:00","22.033","-0.033","22.044","0.034","0","0","23.2","0.0","23.2","0.0","0","0","23.68","0.033","23.648","0.026","0","0","23.853","-0.033","23.89","0.017","0","0","23.192","1.82","0"
"2026-05-03 13:25:00","22.0","-0.033","22.044","0.034","0","0","23.2","0.0","23.2","0.0","0","0","23.687","0.007","23.649","0.028","0","0","23.82","-0.033","23.877","0.03","0","0","23.177","1.82","0"
"2026-05-03 13:30:00","22.031","0.031","22.048","0.031","0","0","23.2","0.0","23.2","0.0","0","0","23.653","-0.033","23.65","0.028","0","0","23.8","-0.02","23.86","0.039","0","0","23.171","1.769","0"
"2026-05-03 13:35:00","22.062","0.031","22.049","0.032","0","0","23.2","0.0","23.2","0.0","0","0","23.62","-0.033","23.65","0.027","0","0","23.8","0.0","23.843","0.04","0","0","23.171","1.738","0"
"2026-05-03 13:40:00","22.094","0.031","22.048","0.03","0","0","23.2","0.0","23.2","0.0","0","0","23.613","-0.007","23.65","0.027","0","0","23.8","0.0","23.827","0.033","0","0","23.177","1.706","0"
"2026-05-03 13:45:00","22.073","-0.02","22.049","0.031","0","0","23.167","-0.033","23.194","0.012","0","0","23.647","0.033","23.65","0.027","0","0","23.783","-0.017","23.809","0.022","0","0","23.168","1.71","0"
"2026-05-03 13:50:00","22.04","-0.033","22.05","0.03","0","0","23.133","-0.033","23.183","0.025","0","0","23.68","0.033","23.65","0.027","0","0","23.7","-0.083","23.784","0.039","0","0","23.138","1.66","0"
"2026-05-03 13:55:00","22.007","-0.033","22.051","0.029","0","0","23.1","-0.033","23.167","0.038","0","0","23.687","0.007","23.65","0.027","0","0","23.617","-0.083","23.75","0.069","1","1","23.103","1.68","1"
"2026-05-03 14:00:00","22.0","-0.007","22.046","0.034","0","0","23.067","-0.033","23.144","0.05","0","0","23.653","-0.033","23.65","0.027","0","0","23.627","0.01","23.721","0.078","0","1","23.087","1.653","1"
"2026-05-03 14:05:00","22.0","0.0","22.036","0.037","0","0","23.033","-0.033","23.117","0.057","0","0","23.62","-0.033","23.65","0.027","0","0","23.66","0.033","23.698","0.072","0","0","23.078","1.66","0"
"2026-05-03 14:10:00","22.0","0.0","22.02","0.028","0","0","23.0","-0.033","23.083","0.057","0","0","23.587","-0.033","23.646","0.034","0","0","23.693","0.033","23.68","0.056","0","0","23.07","1.693","0"
"2026-05-03 14:15:00","22.0","0.0","22.008","0.015","0","0","23.0","0.0","23.056","0.05","0","0","23.553","-0.033","23.63","0.048","0","0","23.7","0.007","23.666","0.034","0","0","23.063","1.7","0"
"2026-05-03 14:20:00","22.0","0.0","22.001","0.002","0","0","23.0","0.0","23.033","0.038","0","0","23.52","-0.033","23.603","0.057","0","0","23.7","0.0","23.666","0.034","0","0","23.055","1.7","0"
"2026-05-03 14:25:00","22.0","0.0","22.0","0.0","0","0","23.0","0.0","23.017","0.025","0","0","23.475","-0.045","23.568","0.06","0","0","23.7","0.0","23.68","0.028","0","0","23.044","1.7","0"
"2026-05-03 14:30:00","22.0","0.0","22.0","0.0","0","0","23.0","0.0","23.006","0.012","0","0","23.412","-0.063","23.528","0.069","0","0","23.7","0.0","23.692","0.015","0","0","23.028","1.7","0"
"2026-05-03 14:35:00","22.0","0.0","22.0","0.0","0","0","23.0","0.0","23.0","0.0","0","0","23.4","-0.012","23.491","0.069","0","0","23.7","0.0","23.699","0.002","0","0","23.025","1.7","0"
"2026-05-03 14:40:00","22.0","0.0","22.0","0.0","0","0","23.0","0.0","23.0","0.0","0","0","23.4","0.0","23.46","0.061","0","0","23.7","0.0","23.7","0.0","0","0","23.025","1.7","0"
"2026-05-03 14:45:00","22.025","0.025","22.004","0.009","0","0","23.06","0.06","23.01","0.022","0","0","23.4","0.0","23.435","0.047","0","0","23.7","0.0","23.7","0.0","0","0","23.046","1.675","0"
"2026-05-03 14:50:00","22.056","0.031","22.014","0.021","0","0","23.16","0.1","23.037","0.059","0","0","23.373","-0.027","23.41","0.031","0","0","23.7","0.0","23.7","0.0","0","0","23.072","1.644","0"
"2026-05-03 14:55:00","22.088","0.031","22.028","0.033","0","0","23.26","0.1","23.08","0.099","0","0","23.34","-0.033","23.388","0.024","0","0","23.7","0.0","23.7","0.0","0","0","23.097","1.612","0"
